"id","filename","species","latitude","longitude","family","order","genus","year","datasetKey","gbif_species_to_verbatim","Specimen ID","Bnet UI","Familiy_kawahara","Genus_kawahara","Species_kawahara","kawahara_index","phy_tip_name","phy_tip_name2","match_landmarks","match_tree"
"1142369265","1142369265_344_95230_Papilio_horsfieldii_HT_v_IN.jpg","Papilio polytes",NA,NA,"Papilionidae","Lepidoptera","Papilio",NA,"7931dcab-94f1-46ce-8092-56e4335423de","Papilio polytes","GCA0008362151",NA,"Papilionidae","Papilio","polytes","1868","GCA_0008362151_Papilio_polytes","Papilio polytes","1142369265_344_95230_Papilio_horsfieldii_HT_v_IN","Papilio_polytes"
"1233615353","1233615353_0_default.jpg.jpg","Papilio ambrax","-3.13855","132.91731","Papilionidae","Lepidoptera","Papilio","1884","4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","Papilio ambrax","SRR5879306",NA,"Papilionidae","Papilio","ambrax","1870","SRR5879306_Papilio_ambrax","Papilio ambrax","1233615353_0_default","Papilio_ambrax"
"1503319552","1503319552_0_default.jpg.jpg","Papilio ambrax","-2.5267","140.7143","Papilionidae","Lepidoptera","Papilio","1945","4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","Papilio ambrax","SRR5879306",NA,"Papilionidae","Papilio","ambrax","1870","SRR5879306_Papilio_ambrax","Papilio ambrax","1503319552_0_default","Papilio_ambrax"
"1503319553","1503319553_0_default.jpg.jpg","Papilio ambrax","-2.9378","132.32724","Papilionidae","Lepidoptera","Papilio","1911","4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","Papilio ambrax","SRR5879306",NA,"Papilionidae","Papilio","ambrax","1870","SRR5879306_Papilio_ambrax","Papilio ambrax","1503319553_0_default","Papilio_ambrax"
"814090149","814090149_0_default.jpg.jpg","Papilio deiphobus","12.87721","124.2675","Papilionidae","Lepidoptera","Papilio",NA,"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","Papilio deiphobus","LEP28904",NA,"Papilionidae","Papilio","deiphobus","1866","LEP28904_Papilio_rumanzovia_ME","Papilio deiphobus","814090149_0_default","Papilio_deiphobus"
"814090640","814090640_0_default.jpg","Papilio protenor","27.03599","88.26238","Papilionidae","Lepidoptera","Papilio","1911","4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","Papilio protenor","LEP36465","BN007168","Papilionidae","Papilio","protenor","1867","BN007168_LEP36465_Papilionidae_Papilioninae_Papilionini_Papilio_protenor","Papilio protenor","814090640_0_default","Papilio_protenor"
"863590761","863590761_0_default.jpg","Papilio polytes","13.39865","121.20409","Papilionidae","Lepidoptera","Papilio",NA,"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","Papilio polytes","GCA0008362151",NA,"Papilionidae","Papilio","polytes","1868","GCA_0008362151_Papilio_polytes","Papilio polytes","863590761_0_default","Papilio_polytes"
"863590898","863590898_0_default.jpg.jpg","Papilio phestus","-7.05167","155.76932","Papilionidae","Lepidoptera","Papilio",NA,"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","Papilio phestus","SRR5879277",NA,"Papilionidae","Papilio","phestus","1869","SRR5879277_Papilio_phestus","Papilio phestus","863590898_0_default","Papilio_phestus"
"863600852","863600852_0_default.jpg","Papilio protenor","32","90","Papilionidae","Lepidoptera","Papilio",NA,"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","Papilio protenor","LEP36465","BN007168","Papilionidae","Papilio","protenor","1867","BN007168_LEP36465_Papilionidae_Papilioninae_Papilionini_Papilio_protenor","Papilio protenor","863600852_0_default","Papilio_protenor"
"863604705","863604705_0_default.jpg.jpg","Papilio phestus","-7.05167","155.76932","Papilionidae","Lepidoptera","Papilio",NA,"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","Papilio phestus","SRR5879277",NA,"Papilionidae","Papilio","phestus","1869","SRR5879277_Papilio_phestus","Papilio phestus","863604705_0_default","Papilio_phestus"
